id;titre;auteur;date;url;texte;type
2;Video Remarks Announcing Candidacy for President;CLINTON;April 12, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110028;: I'm getting ready for a lot of things, a lot of things.;csv
3;Video Remarks Announcing Candidacy for President;CLINTON;April 12, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110028;I'm getting ready to do something, too.;csv
4;Video Remarks Announcing Candidacy for President;CLINTON;April 12, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110028;I'm running for president.;csv
5;Video Remarks Announcing Candidacy for President;CLINTON;April 12, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110028;Americans have fought their way back from tough economic times, but the deck is still stacked in favor of those at the top.;csv
6;Video Remarks Announcing Candidacy for President;CLINTON;April 12, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110028;Everyday Americans need a champion and I want to be that champion.;csv
7;Video Remarks Announcing Candidacy for President;CLINTON;April 12, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110028;So you can do more than just get by, you can get ahead and stay ahead, because when families are strong, America is strong.;csv
8;Video Remarks Announcing Candidacy for President;CLINTON;April 12, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110028;So I'm hitting the road to earn your vote, because it's your time and I hope you'll join me on this journey.;csv
9;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;[ ] : I'll be graduating in May, and on graduation I'll be heading to Annapolis, the naval academy, to major in systems engineering.;csv
10;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;All right, good luck.;csv
18;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;I'll introduce... That's good.;csv
19;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;That's a good luck omen.;csv
24;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;Well, first I want thank you, Nick, for having me here and a few of my friends in the college.;csv
25;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;I just had a terrific tour of the advanced manufacturing laboratory.;csv
26;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;I got to talk with the instructor and four of the students, all of whom are high school students who are doing what you have described as the great opportunity to mix your high school years with college learning and college credits as you move forward.;csv
27;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And I am really pleased to be at a community college that is visionary and effective and trying to serve as a bridge for people who are non-traditional but coming back to add to their stills all the Beltway high school students who are taking advantage of the opportunities.;csv
28;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And the cooperation between the college and the high school is something I want to see a lot more.;csv
29;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;This is a real model for how we can provide more continuous learning starting in high school but going as far as necessary to help better prepare not only young people but all people for the economy that is awaiting us.;csv
30;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And before we get started — because I want to hear from each of you, I want more information about what you see as challenges as students and educators and the opportunities you hope to take advantage of — I just want to tell you a little bit about why I'm here today.;csv
31;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;I think we all know that Americans have come back from some tough economic times.;csv
32;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And our economy and our country are much better off because American families have basically done whatever it took to make it work.;csv
33;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;But I think it's fair to say that as you look across the country, the deck is still stacked in favor of those already at the top.;csv
34;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And there's something wrong with that.;csv
35;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;There's something wrong when CEOs make 300 times more than the typical worker.;csv
36;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;There's something wrong when American workers keep getting more productive, as they have, and as I just saw a few minutes ago, is very possibly possible because of education and stills training, but that productivity is not matched in their paychecks.;csv
37;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And there's something wrong when hedge fund managers pay lower tax rates than nurses or the truckers that I saw on I-80 as I was driving here the last two days.;csv
38;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And there's something wrong when students and their families have to go deeply into debt to be able to get the education and skills in order to make the best of their own lives.;csv
39;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;I looked at the figures.;csv
40;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;The average Iowa graduate from a four-year college comes out with nearly $30,000 in debt.;csv
41;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And that's I think the ninth-highest debt load in the country.;csv
42;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And people are struggling.;csv
43;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;I met earlier today with a young student who is piecing together work and loans, knowing full well he's going to come out owing a lot of money.;csv
44;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;We're got to figure out in our country how to get back on the right track.;csv
45;Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa;CLINTON;April 14, 2015;http://www.presidency.ucsb.edu/ws/index.php?pid=110044;And I'm running for president because I think that Americans and their families need a champion, and I want to be this champion.;csv
